Ar	36	12	12
Ar	14	56	1
Ar	30	44	16
Ar	49	21	20
Ar	47	9	56
Ar	33	5	14
Ar	44	44	50
Ar	2	11	16
Ar	45	5	31
Ar	25	24	17
Ar	12	0	22
Ar	25	14	10
Ar	18	36	54
Ar	26	25	8
Ar	47	12	17
Ar	43	37	14
Ar	58	21	50
Ar	48	24	1
Ar	56	9	6
Ar	19	26	30
Ar	29	39	22
Ar	51	56	37
Ar	53	6	5
Ar	39	32	31
Ar	47	19	35
Ar	57	55	13
Ar	3	45	34
Ar	54	33	58
Ar	55	21	59
Ar	54	40	26
Ar	24	1	57
Ar	47	44	45
Ar	16	37	51
Ar	21	17	15
Ar	44	56	35
Ar	20	45	22
Ar	33	49	7
Ar	7	35	32
Ar	58	22	53
Ar	49	16	25
Ar	7	33	27
Ar	4	12	11
Ar	41	20	41
Ar	24	41	50
Ar	40	18	46
Ar	7	38	32
Ar	29	11	13
Ar	28	10	48
Ar	0	8	10
Ar	53	50	27
Ar	18	57	0
Ar	37	54	12
Ar	41	35	32
Ar	22	52	5
Ar	12	32	23
Ar	50	31	53
Ar	22	52	4
Ar	27	20	7
Ar	15	20	7
Ar	26	5	57
Ar	45	15	55
Ar	37	53	49
Ar	41	26	16
Ar	13	40	8
Ar	10	52	32
Ar	26	34	3
Ar	11	49	55
Ar	16	16	7
Ar	23	32	27
Ar	22	50	24
Ar	20	35	40
Ar	15	12	25
Ar	56	53	51
Ar	12	58	31
Ar	21	0	15
Ar	53	18	49
Ar	57	30	38
Ar	44	38	47
Ar	52	53	19
Ar	11	15	9
Ar	36	35	44
Ar	8	50	48
Ar	33	38	41
Ar	16	51	31
Ar	47	12	31
Ar	54	57	42
Ar	35	46	12
Ar	6	23	50
Ar	53	15	43
Ar	12	18	58
Ar	13	54	34
Ar	49	2	16
Ar	37	27	55
Ar	10	43	38
Ar	33	22	42
Ar	56	16	39
Ar	38	52	18
Ar	50	58	41
Ar	40	51	56
Ar	15	55	6
